#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.001194388778e+04   2.180896228116e+14   3.494180949078e-02  
 2.001198396794e+04   2.180890821909e+14   3.494172287380e-02  
 2.001202404810e+04   2.180885415715e+14   3.494163625702e-02  
 2.001206412826e+04   2.180880009533e+14   3.494154964043e-02  
 2.001210420842e+04   2.180874603362e+14   3.494146302403e-02  
 2.001214428858e+04   2.180869197204e+14   3.494137640783e-02  
 2.001218436874e+04   2.180863791057e+14   3.494128979181e-02  
 2.001222444890e+04   2.180858384923e+14   3.494120317599e-02  
 2.001226452906e+04   2.180852978801e+14   3.494111656037e-02  
 2.001230460922e+04   2.180847572690e+14   3.494102994493e-02  
 2.001234468938e+04   2.180842166592e+14   3.494094332968e-02  
 2.001238476954e+04   2.180836760506e+14   3.494085671464e-02  
 2.001242484970e+04   2.180831354431e+14   3.494077009978e-02  
 2.001246492986e+04   2.180825948369e+14   3.494068348511e-02  
 2.001250501002e+04   2.180820542319e+14   3.494059687064e-02  
 2.001254509018e+04   2.180815136281e+14   3.494051025636e-02  
 2.001258517034e+04   2.180809730255e+14   3.494042364227e-02  
 2.001262525050e+04   2.180804324240e+14   3.494033702837e-02  
 2.001266533066e+04   2.180798918238e+14   3.494025041467e-02  
 2.001270541082e+04   2.180793512248e+14   3.494016380116e-02  
 2.001274549098e+04   2.180788106270e+14   3.494007718784e-02  
 2.001278557114e+04   2.180782700304e+14   3.493999057472e-02  
 2.001282565130e+04   2.180777294350e+14   3.493990396179e-02  
 2.001286573146e+04   2.180771888407e+14   3.493981734904e-02  
 2.001290581162e+04   2.180766482477e+14   3.493973073649e-02  
 2.001294589178e+04   2.180761076559e+14   3.493964412414e-02  
 2.001298597194e+04   2.180755670653e+14   3.493955751198e-02  
 2.001302605210e+04   2.180750264759e+14   3.493947090001e-02  
 2.001306613226e+04   2.180744858877e+14   3.493938428823e-02  
 2.001310621242e+04   2.180739453007e+14   3.493929767664e-02  
 2.001314629259e+04   2.180734047149e+14   3.493921106525e-02  
 2.001318637275e+04   2.180728641303e+14   3.493912445405e-02  
 2.001322645291e+04   2.180723235469e+14   3.493903784304e-02  
 2.001326653307e+04   2.180717829647e+14   3.493895123223e-02  
 2.001330661323e+04   2.180712423838e+14   3.493886462161e-02  
 2.001334669339e+04   2.180707018039e+14   3.493877801117e-02  
